;;;;;;;;;;;;;t4;t2;;;t6;;;;;;;;;;;;;k2;k1;;;k4;k3;i2;;i1;;;;;;;;;;;;;;;;;;;;;;;;;;;;l4;;;;l3;;;;l2;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;;;;;;;;v1;;;;;;;t11;t12;y2;t8;t7;t9;t10;
2021-10-06 16:17;1;3;5;4;3;2;2;2;5;5;5;5;2;2;4;4;1;1;4;3;5;5;5;3;5;5;3;3;2;5;3;5;4;4;4;4;4;5;3;3;1;2;5;4;1;5;3;3;1;3;2;2;4;2;3;1;5;4;1;2;2;5;5;3;3;3;3;2;1;1;1;5;1;2;;;;;;3;6;6;6;5;6;6;2;3;3;3;1;2;;;;;;;2;2;;;;;;;5;4;4;4;3;3;3;4
2021-09-16 17:33;1;5;5;4;4;3;3;2;3;3;4;5;3;2;4;4;1;2;4;4;4;5;5;6;4;5;5;5;3;3;2;4;5;5;6;2;4;4;2;4;6;3;2;3;1;5;3;3;3;;;;;;;4;;;;;;4;4;2;3;3;4;3;2;6;3;6;2;3;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;4;4;3
2021-09-22 12:06;1;4;5;4;4;3;4;4;5;5;5;5;1;3;3;5;1;1;3;2;5;5;5;4;4;4;4;4;4;3;4;4;4;3;6;4;4;4;4;4;5;5;4;4;1;5;4;2;1;4;5;4;4;3;5;1;1;1;1;3;1;4;5;4;4;5;5;5;3;6;5;6;3;6;;;;;;5;5;5;5;5;5;5;1;1;1;3;3;3;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;4
2021-09-16 07:02;2;3;4;4;4;5;5;5;5;4;4;5;3;3;4;4;4;4;4;4;4;4;5;4;5;4;4;4;5;4;3;4;4;4;3;4;4;4;5;5;5;5;5;4;1;5;5;5;1;3;3;3;4;3;3;1;5;4;4;3;3;5;5;4;4;4;4;3;2;2;3;5;3;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;3;4;5;4;4;4;4;2
2021-09-16 18:46;1;6;5;4;3;5;5;5;4;4;5;5;3;4;3;5;3;2;4;3;4;4;5;6;4;2;3;3;4;4;4;4;6;5;6;4;4;5;3;4;5;5;5;5;1;3;4;4;3;;;;;;;4;;;;;;5;4;4;5;4;4;4;6;6;5;6;3;5;;;;;;4;4;4;4;4;4;4;3;3;1;3;2;2;;;;;;;1;2;;;;;;;4;4;6;5;3;4;4;4
2021-10-06 13:43;1;2;5;5;5;3;4;3;4;4;5;3;3;4;2;3;2;1;4;3;5;5;5;4;5;3;3;3;3;4;4;4;5;5;5;3;4;4;4;4;5;4;3;3;1;4;4;4;1;4;4;4;6;6;3;1;3;3;1;1;2;4;4;3;3;4;3;4;3;4;2;6;3;4;;;;;;5;5;5;5;5;5;5;2;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;4;4;4;2
2021-09-27 13:04;1;4;5;4;4;3;3;3;3;4;3;3;3;3;3;3;3;2;3;3;4;4;4;4;4;3;3;3;3;3;3;4;4;3;3;3;3;4;4;4;4;3;3;4;1;2;3;3;3;;;;;;;4;;;;;;2;5;3;3;4;3;3;3;3;4;6;3;4;;;;;;5;4;5;5;5;5;5;3;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;3;4;4;5
2021-09-27 12:00;1;5;4;2;3;2;3;3;5;4;5;4;2;1;1;3;1;2;3;2;4;5;5;6;5;2;3;3;2;5;2;3;3;3;1;4;5;5;3;5;3;2;4;5;1;4;3;3;2;;;;;;;2;2;5;5;1;2;5;5;5;5;3;5;3;2;5;5;5;4;3;;;;;;5;5;6;6;6;5;5;1;1;1;1;3;2;;;;;;;2;1;;;3;;;2;5;5;5;4;3;4;2;4
2021-09-23 11:00;1;5;5;5;4;4;5;3;5;4;5;4;3;3;3;5;2;1;5;5;5;5;5;4;5;4;3;3;4;3;4;5;3;5;6;5;5;5;5;5;5;5;4;5;1;5;4;4;1;4;4;4;5;5;4;1;4;5;5;5;5;5;5;5;4;4;4;4;4;4;3;6;4;3;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;5;5;4;4;4;4
2021-09-15 13:05;1;4;4;4;3;3;5;5;4;4;4;4;2;4;4;4;4;3;3;3;2;4;4;3;2;4;4;4;3;4;4;5;4;4;3;4;4;5;2;4;5;4;5;4;2;3;3;3;1;4;4;3;5;4;4;1;4;4;3;3;3;4;4;2;4;4;4;4;4;4;4;4;4;4;;;;;;6;4;4;4;4;6;6;1;1;1;3;2;2;;;;;;;2;2;;;;;;;2;2;3;3;3;2;2;2
2021-10-13 16:03;1;5;5;4;4;2;3;2;4;4;4;4;2;2;2;3;1;2;2;2;4;4;4;3;4;3;3;4;4;3;2;4;3;3;3;3;3;3;3;3;3;3;4;3;1;4;4;4;1;3;3;3;4;2;2;1;3;4;3;3;3;4;4;3;3;2;2;2;2;3;2;2;2;2;;;;;;4;4;4;4;4;4;4;1;1;1;3;1;2;;;;;;;2;2;;;;;;;3;3;3;4;3;3;2;4
2021-10-06 12:59;1;3;5;3;4;3;4;4;4;2;3;4;2;2;3;4;1;5;2;2;4;4;5;4;4;2;2;2;1;4;1;3;3;3;2;2;2;4;3;3;4;3;4;2;1;5;2;2;1;2;1;2;1;1;2;1;2;5;2;4;4;1;1;4;4;4;3;3;2;2;4;4;2;4;;;;;;2;5;6;6;6;6;6;1;2;1;3;2;2;;;;;;;2;2;;;;;;;2;1;2;4;2;1;2;4
2021-10-04 12:54;1;4;5;4;5;3;5;4;5;5;5;4;4;3;4;4;1;2;4;3;5;5;5;4;5;3;4;3;4;4;4;5;4;4;4;4;4;4;4;5;5;5;4;3;1;4;4;3;1;3;4;3;6;4;4;1;4;5;5;6;4;5;5;4;4;4;4;5;3;5;3;6;3;4;;;;;;6;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;5;5;5;4;4
2021-09-21 21:15;1;5;5;4;4;4;4;3;4;3;4;4;4;5;4;4;3;3;3;3;5;5;5;4;5;4;4;4;5;5;4;4;4;4;3;4;4;4;4;4;5;5;4;3;1;4;4;4;1;4;4;3;4;4;4;1;4;4;4;3;3;4;4;3;4;4;4;3;3;4;4;3;3;4;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;5;4;4;4
2021-09-23 12:58;1;4;4;4;3;3;4;4;5;4;4;4;3;3;3;3;2;2;3;3;4;4;4;3;4;3;3;3;2;4;4;4;4;4;3;4;4;4;2;3;4;4;4;4;1;5;5;5;1;4;4;3;5;5;5;1;3;4;4;4;4;4;5;3;4;4;4;3;3;4;4;4;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;1;2;;;;;;;2;2;;;;;;;3;4;5;5;3;3;3;3
2021-10-07 13:14;1;4;5;3;3;3;3;3;4;4;4;4;2;2;1;3;2;1;4;2;4;5;4;3;3;4;3;4;2;4;3;3;3;3;3;3;3;3;3;4;3;4;4;4;1;5;4;4;1;3;3;3;4;2;3;1;3;4;3;3;3;4;4;4;4;3;3;3;2;2;2;2;2;3;;;;;;5;5;6;6;6;6;6;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;4;4;3;3;3;3;2
2021-10-12 13:34;1;3;3;4;4;3;2;3;5;5;5;4;1;2;2;5;1;1;4;4;5;5;5;4;4;3;4;4;4;3;4;5;5;4;3;3;4;5;6;3;4;4;4;3;1;5;4;4;2;;;;;;;1;2;3;3;1;1;5;5;3;3;3;3;3;3;3;4;4;3;3;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;3;3;3;3;3;3
2021-10-06 15:40;2;5;5;4;4;2;4;4;5;3;5;4;5;2;3;4;4;4;4;3;5;5;4;4;4;4;4;4;4;3;3;4;4;3;3;3;4;4;4;4;4;4;3;4;1;4;2;2;1;2;2;3;3;3;3;1;3;4;3;4;3;3;3;3;4;3;3;4;2;3;3;3;4;4;;;;;;5;5;5;5;5;5;5;3;3;3;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;4;4;4;4
2021-10-12 09:53;1;4;4;4;3;3;3;3;5;4;4;2;1;2;3;5;1;1;3;3;4;3;4;4;3;3;2;3;3;4;3;4;4;4;4;3;3;5;4;3;4;3;4;3;1;4;3;3;1;3;3;2;4;4;3;1;4;5;5;3;3;5;5;3;2;3;3;4;2;4;3;2;2;2;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;3;3;6;3;2;2;2;2
2021-09-22 10:29;1;6;5;4;4;3;3;2;4;4;4;4;3;2;2;3;2;2;3;2;5;5;5;5;5;3;4;3;3;2;3;4;4;4;3;4;4;4;4;4;4;4;3;3;1;5;4;4;1;3;3;2;3;3;3;1;3;3;4;3;3;4;4;3;4;4;4;3;3;6;4;4;4;4;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;;2;2;;;;;;;4;4;6;4;3;4;3;2
2021-09-30 14:02;2;2;5;4;3;2;4;4;5;4;5;5;1;4;2;5;3;2;5;4;5;5;5;5;5;5;2;5;1;5;5;5;5;3;5;3;5;5;4;3;5;5;5;3;1;5;4;3;1;5;5;5;3;5;4;1;5;5;5;2;2;5;5;3;2;5;3;5;2;5;3;2;1;4;;;;;;5;2;5;5;5;6;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;6;1;5;5;4;4;3
2021-10-06 15:34;1;5;3;3;2;2;2;2;3;3;5;4;1;1;2;2;1;1;3;2;5;5;5;6;5;5;2;1;1;5;3;3;3;3;2;3;3;5;2;5;3;5;5;3;1;5;3;2;2;;;;;;;5;;;;;;3;3;2;3;2;3;2;2;2;2;6;2;2;;;;;;5;5;5;5;5;5;5;3;3;1;3;1;2;;;;;;;2;2;;;;;;;3;3;3;3;1;3;1;4
2021-09-15 14:25;1;4;5;5;5;5;5;5;5;4;5;5;4;4;5;5;2;3;4;4;5;5;5;5;5;5;3;4;3;5;4;5;5;5;5;5;4;5;4;5;5;5;5;5;1;5;5;5;1;4;3;3;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;3;4
2021-09-27 13:18;1;6;4;4;4;3;4;3;5;5;5;4;2;3;3;4;3;1;3;2;5;5;5;5;5;3;3;4;4;3;3;4;3;3;2;3;4;4;2;2;5;4;5;4;1;4;3;3;1;2;2;2;4;3;3;1;4;4;3;3;3;5;5;2;4;2;6;2;6;6;2;6;3;2;;;;;;6;6;6;6;6;6;6;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;3;5;4;4;4;3;4
2021-09-23 14:40;1;6;3;3;3;3;3;3;3;2;3;3;2;2;2;3;3;1;3;3;4;3;4;4;4;4;3;3;3;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;1;5;4;4;1;3;3;3;3;3;3;1;4;4;4;3;3;4;4;3;3;3;3;3;3;3;3;3;2;2;;;;;;6;5;5;5;5;6;6;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;3;1;3;2;3;2;4
2021-10-07 09:11;2;5;4;4;4;5;5;5;5;3;4;4;3;4;4;5;4;2;4;4;5;5;5;5;5;4;5;5;5;4;4;4;4;4;1;3;3;3;4;4;4;4;4;4;1;5;5;5;1;4;4;4;4;4;4;1;4;4;4;4;4;2;2;4;4;4;4;4;3;4;4;4;3;4;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;;2;2;;;;;;;3;3;6;4;3;3;3;2
2021-09-15 14:47;1;4;5;4;3;1;2;2;5;3;5;3;1;2;3;4;2;1;2;3;5;5;5;5;5;3;3;4;4;4;2;4;3;3;3;4;4;4;3;2;4;4;3;4;1;5;3;3;1;3;3;3;3;3;2;1;3;4;2;2;2;4;5;3;2;6;6;2;6;6;2;6;1;1;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;2;6;6;3;2;3;2;4
2021-09-15 17:14;1;3;5;5;3;4;4;5;5;3;5;5;3;3;4;4;2;2;4;4;5;5;4;5;5;3;5;4;4;5;4;4;4;4;4;5;5;5;5;5;5;5;5;5;1;5;5;5;1;4;4;5;5;5;5;1;1;4;3;6;4;3;3;5;4;4;4;3;5;6;4;6;4;5;;;;;;6;5;5;6;6;6;6;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;3;4;5;4;4;4;3
2021-09-16 15:15;1;6;5;5;5;4;5;5;5;5;5;5;5;4;5;5;4;4;4;4;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;1;5;4;4;1;4;4;4;5;5;4;1;5;5;5;5;5;5;5;4;5;5;5;4;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;5;5;5;5;5;5;4
2021-10-06 15:36;1;2;3;4;3;1;3;2;3;3;4;3;2;3;3;3;1;2;4;2;5;5;4;4;5;4;2;2;2;3;2;4;6;4;3;3;3;4;2;4;3;4;4;4;1;5;4;3;3;;;;;;;4;;;;;;2;4;3;3;3;3;3;3;3;2;3;2;3;;;;;;5;5;5;5;5;5;5;2;3;3;3;3;3;;;;;;;2;2;;;;;;;3;3;4;2;2;4;2;3
2021-09-15 17:16;1;4;5;5;4;5;5;2;5;4;5;5;2;2;2;5;1;1;4;2;5;4;4;4;5;3;3;3;2;5;3;4;5;4;3;3;5;5;4;4;5;5;4;4;1;4;3;4;1;5;5;4;5;4;5;1;5;5;5;3;4;5;5;3;5;5;5;4;3;2;5;4;2;5;;;;;;5;5;5;5;5;5;5;1;1;3;3;1;1;;2;;;;1;2;2;;;;;;;5;5;3;4;3;4;2;3
2021-10-05 14:31;1;6;4;3;3;3;3;3;4;4;4;2;3;3;3;3;3;2;3;3;5;5;5;5;5;1;3;3;3;3;3;4;3;3;3;3;3;3;3;4;4;3;4;4;1;4;4;4;1;3;3;3;4;4;4;2;3;3;3;3;3;4;4;3;3;3;3;3;3;2;3;3;3;3;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;2;2;1;3;3;3;3;4
2021-10-06 15:43;1;5;5;5;5;3;2;4;5;4;5;5;1;1;1;5;1;1;3;1;5;5;5;5;5;3;4;4;3;1;1;5;5;5;1;3;3;5;4;4;4;3;5;5;1;5;2;1;1;2;2;2;4;3;3;1;5;5;2;1;4;4;5;2;3;3;3;2;2;2;3;3;3;3;;;;;;5;5;5;5;5;5;5;1;1;1;3;3;3;;;;;;;2;2;;;;;;;4;4;5;4;4;4;3;4
2021-10-12 10:56;2;5;4;3;4;2;3;3;4;3;5;2;1;2;2;4;1;2;2;1;3;3;4;2;3;4;3;4;4;3;1;5;2;2;1;3;4;4;3;3;4;4;5;5;1;5;3;3;1;2;3;2;5;6;3;3;;;;;;3;5;2;2;2;2;3;2;2;3;3;3;3;;;;;;4;4;6;6;6;6;6;1;1;1;3;1;2;;;;;;;2;2;;;;;;;2;3;3;4;2;3;2;4
2021-10-04 17:12;1;5;5;5;5;3;5;5;4;4;4;4;3;4;4;3;4;4;5;5;5;5;5;3;5;5;5;5;5;4;4;5;5;3;1;2;4;4;2;5;5;5;5;2;3;;;;1;4;4;4;4;6;5;2;5;5;6;2;6;4;4;3;5;5;5;5;4;4;5;5;4;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;5;6;5;4;4;4;4
2021-09-27 14:28;1;5;4;4;4;3;3;3;5;4;4;4;3;3;3;4;1;2;4;3;5;6;6;5;5;4;4;4;4;4;3;5;5;5;2;4;4;5;4;4;4;4;4;4;1;4;4;4;1;3;3;3;3;2;2;1;4;4;3;2;2;4;4;4;3;3;2;2;2;4;3;2;2;2;;;;;;5;5;5;5;5;5;5;1;1;1;1;3;1;1;;;;;2;2;2;;;;;;;3;3;4;4;4;3;3;4
2021-09-23 22:07;1;5;5;5;4;5;5;3;5;5;5;5;3;3;3;5;1;1;4;4;5;5;5;5;5;5;4;5;4;5;4;5;4;4;3;5;5;5;5;5;5;5;5;5;1;5;3;5;1;4;4;3;4;5;5;5;;;;;;5;5;5;5;5;5;4;6;6;5;5;5;4;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;3;1
2021-09-23 12:59;1;5;4;3;4;3;4;4;4;4;4;4;2;2;2;4;4;1;4;3;5;5;5;4;4;1;3;5;4;3;4;4;5;4;3;4;4;3;3;3;5;4;4;3;1;5;4;4;1;4;4;3;5;3;4;3;;;;;;1;4;4;4;6;6;6;3;3;2;6;3;4;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;3;4;6;4;4;4;4;2
2021-09-22 12:56;1;4;5;5;4;4;5;4;4;4;5;4;2;3;2;4;1;2;4;3;4;4;5;4;4;2;2;3;3;6;6;4;5;4;4;4;3;4;4;5;5;4;4;4;1;4;3;3;1;4;4;4;4;4;5;1;4;5;5;4;5;3;4;4;5;5;4;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;3;3;6;4;4;3;3;4
2021-10-12 13:55;1;3;5;4;5;5;5;4;5;5;5;5;4;5;4;4;3;3;4;4;4;5;5;4;5;4;4;3;3;4;3;4;5;5;4;4;4;5;5;5;5;5;4;5;1;5;5;5;1;5;5;5;5;5;5;1;5;4;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;2
2021-10-15 11:43;2;4;5;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;3;3;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;1;3;1;5;5;5;1;4;4;4;3;5;5;2;5;3;1;1;6;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;1;2;1;;2;;;;1;2;2;;;;;;;3;3;5;5;5;5;5;4
2021-10-04 13:48;1;4;5;5;4;5;5;5;5;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;3;3;4;4;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;1;5;5;5;1;4;5;4;4;4;4;1;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;3;3;1;3;1;1;;2;;;;1;2;2;;;;;;;4;4;4;4;4;4;4;1
2021-10-15 15:38;1;5;5;5;3;5;5;4;5;5;5;5;3;4;3;5;3;2;3;5;5;5;5;5;5;3;3;3;3;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;1;5;5;5;1;5;5;5;5;5;5;1;5;5;5;6;5;4;4;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;4;5;4;4
2021-10-04 10:20;1;4;5;4;4;5;5;5;4;3;4;4;4;4;3;3;4;3;3;3;2;3;3;3;3;3;3;2;2;4;4;3;3;4;4;4;4;4;3;4;4;4;4;4;1;3;4;4;1;3;3;3;3;3;3;1;3;4;3;2;3;3;3;4;4;4;4;4;4;4;5;5;5;5;;;;;;4;4;4;4;4;4;4;1;3;3;3;2;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;4;3
2021-09-17 13:30;1;4;4;3;4;2;3;2;4;3;4;4;3;2;2;3;1;1;2;2;5;5;4;6;4;4;3;2;2;3;2;3;6;4;1;6;3;5;6;2;6;2;5;3;1;5;3;3;3;;;;;;;4;;;;;;4;5;2;1;2;2;2;1;6;1;6;1;1;;;;;;6;6;6;6;6;6;6;3;3;1;3;2;2;;;;;;;2;2;;;;;;;2;2;6;4;3;2;2;2
2021-10-12 12:12;1;4;5;4;4;4;4;4;5;4;5;4;4;4;3;4;2;3;3;4;3;3;5;3;3;5;5;5;3;3;4;5;4;4;5;4;4;5;4;4;4;5;4;4;1;5;5;5;1;5;4;4;5;5;5;1;5;5;5;3;5;5;5;4;4;4;4;4;4;4;5;4;4;5;;;;;;6;4;6;5;6;6;5;1;1;1;1;3;2;;;;;;;2;2;;;;;;;4;4;5;5;4;4;4;3
2021-09-24 08:32;2;3;5;4;5;5;4;4;5;4;5;5;4;3;4;4;5;4;3;4;5;5;5;4;5;4;4;4;4;3;4;5;5;5;4;4;5;5;5;5;5;5;3;4;1;4;4;4;1;4;5;4;5;5;5;1;5;5;4;4;5;4;5;5;5;6;6;6;4;6;5;6;4;4;;;;;;5;5;5;5;5;6;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;4;3
2021-10-04 21:30;2;4;4;4;4;4;4;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;4;4;3;3;4;5;1;3;4;4;4;3;4;4;4;5;5;5;5;3;3;1;4;4;4;1;4;4;4;4;4;4;1;5;5;4;4;5;3;5;5;5;5;5;5;6;6;4;6;4;4;;;;;;5;5;5;6;5;5;5;1;3;1;3;2;2;;;;;;;1;2;;;;;;;4;3;5;4;4;4;4;4
2021-10-12 11:46;1;4;4;4;3;4;4;4;4;3;4;3;3;3;4;4;2;1;4;3;3;3;4;6;3;3;3;2;2;3;3;4;4;4;3;3;3;4;4;4;4;4;4;4;1;4;4;4;3;;;;;;;4;;;;;;4;4;4;5;4;6;6;6;6;5;6;6;5;;;;;;5;5;6;6;6;6;6;3;3;1;3;2;2;;;;;;;2;2;;;;;;;3;3;6;3;3;3;2;3
2021-09-20 08:59;2;6;5;2;1;5;5;3;5;4;5;3;1;2;2;2;1;1;4;3;5;5;5;5;5;5;2;3;5;3;2;5;3;2;3;4;4;4;4;4;5;5;4;3;1;5;3;4;1;3;3;3;4;3;3;1;5;5;3;2;3;5;5;5;5;5;3;4;4;3;4;4;4;4;;;;;;5;3;5;5;5;5;5;1;1;1;3;2;2;;;;;;;1;1;;;3;;;1;3;3;1;2;1;3;2;4
2021-09-21 21:35;2;3;3;3;2;3;3;3;3;3;4;3;4;2;3;3;2;2;5;4;4;5;5;4;4;3;3;3;4;3;4;4;2;4;6;3;4;4;3;4;4;4;3;3;1;2;3;3;1;4;6;3;3;4;4;1;3;5;3;3;4;4;4;4;4;4;6;3;6;4;3;6;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;1;2;2;;;;;;;2;2;;;;;;;3;4;6;2;3;4;3;3
2021-09-19 18:44;1;5;5;5;5;5;5;4;5;5;5;5;5;5;3;5;3;3;2;3;3;3;5;3;3;5;5;5;4;4;4;4;4;2;3;4;5;5;5;5;5;5;3;4;1;5;5;5;1;2;2;2;5;2;1;3;;;;;;5;5;5;5;5;5;5;5;6;4;6;5;5;;;;;;4;4;4;4;4;4;4;2;2;1;2;1;3;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;2
2021-09-22 09:52;1;2;5;5;4;4;5;5;5;3;5;4;3;3;4;4;2;2;4;4;4;5;5;4;5;4;4;4;3;4;3;4;5;4;4;4;4;5;5;5;5;5;4;4;1;4;4;4;1;4;4;4;4;4;4;1;4;3;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;4;4;4;4;4;4;4;1;1;1;1;2;2;;;;;;;2;2;;;;;;;4;4;4;4;4;4;4;3
2021-09-23 11:48;1;2;5;4;4;4;4;5;5;4;4;4;3;3;4;4;3;2;4;3;4;5;5;4;5;4;4;3;3;3;3;4;4;3;4;3;3;3;5;5;4;4;4;4;1;4;4;5;1;4;3;3;3;3;3;1;4;5;3;3;3;3;4;5;5;4;5;5;5;6;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;1;1;;;3;;;1;4;4;4;4;4;4;4;3
2021-09-22 14:20;2;5;5;4;5;5;5;5;4;4;5;5;3;5;5;5;3;3;5;5;6;6;4;6;6;4;4;5;5;4;6;5;4;4;6;4;4;4;4;5;6;5;3;4;1;4;4;6;2;;;;;;;3;;;;;;5;5;4;5;6;4;4;4;4;5;6;4;4;;;;;;5;5;5;5;5;5;5;1;1;1;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;4
2021-10-11 15:04;1;4;5;5;4;5;5;5;3;4;3;4;3;3;3;3;2;1;5;3;5;5;5;6;4;4;3;3;2;3;3;3;4;6;5;3;3;4;4;5;5;5;3;4;1;4;4;6;1;4;4;3;3;4;5;1;3;5;4;3;2;3;3;5;5;5;4;5;4;4;5;6;4;5;;;;;;5;5;5;5;5;5;5;1;3;3;3;2;2;;;;;;;2;2;;;;;;;3;3;4;4;3;4;3;4
2021-09-15 13:15;1;6;5;5;5;4;4;4;4;3;4;5;3;5;3;5;4;2;5;5;5;5;5;5;5;4;5;5;3;5;2;4;4;4;3;3;3;5;4;5;5;5;5;4;1;3;3;3;1;3;3;3;2;2;2;1;2;2;2;2;2;4;4;4;4;4;6;6;6;6;6;6;6;6;;;;;;5;5;4;6;6;6;6;1;3;1;3;2;2;;;;;;;1;2;;;;;;;4;4;5;5;5;4;4;4
2021-10-12 13:53;1;4;5;5;5;4;5;5;5;5;5;5;4;5;4;5;1;3;4;4;4;4;4;3;4;5;5;5;5;3;3;5;5;5;2;4;4;4;4;3;5;4;4;4;1;4;4;4;1;3;3;3;6;5;3;1;4;3;5;3;3;4;5;4;4;3;3;3;3;3;5;5;4;4;;;;;;6;6;6;6;6;6;6;1;3;3;3;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;3
2021-10-15 09:32;1;4;5;5;5;4;4;4;5;4;5;5;4;4;3;5;3;3;4;3;3;3;4;3;3;4;4;3;2;3;3;4;5;5;3;4;4;4;4;4;4;4;4;4;1;5;4;4;1;5;3;3;5;5;3;1;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;6;5;5;;;;;;5;5;5;6;5;6;6;1;3;1;1;1;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;3
2021-10-15 14:15;1;5;5;5;4;4;5;5;5;4;5;4;3;4;3;4;3;3;4;4;5;5;4;4;4;3;4;3;3;3;3;5;5;4;3;3;3;4;4;4;5;4;3;3;1;5;3;3;1;3;4;4;3;3;4;1;4;4;4;3;3;4;4;4;4;4;4;4;4;4;4;4;4;4;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;2;2;;;;;;;4;4;5;4;4;4;4;4
2021-10-12 21:32;1;6;5;3;3;4;5;4;5;5;5;4;4;4;5;3;3;3;3;4;5;5;5;6;5;5;4;4;4;6;3;3;4;5;3;3;6;4;5;5;5;5;2;6;1;5;4;5;1;2;2;2;6;6;6;1;5;5;6;5;4;6;5;5;5;5;5;3;4;4;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;3;1;3;2;2;;;;;;;1;1;;;3;;;2;6;6;1;4;3;6;3;4
2021-09-17 08:53;1;5;5;5;5;5;5;5;5;4;4;5;3;4;5;5;3;3;4;4;5;5;4;4;4;5;5;4;3;4;4;4;4;5;5;5;4;5;4;5;5;5;5;5;1;4;4;4;1;5;5;5;5;5;5;1;4;4;4;2;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;5;5;5;5;5;5;5;1;1;1;1;2;2;;;;;;;2;2;;;;;;;5;5;5;5;5;5;5;3
