;;;;i1;;;;;;;;;;;t1;;;;;t4;t2;;;t6;;;;;;;;;;;;;;;;;;;l2;;;;k4;;k1;k2;k3;;;;;;;;;;;;;;;lb1;lb2;lb3;lb4;lb5;lb6;lb7;;;;;;;v1;;;;;;;h5;h6;y3;h1;h2;h4;h3;;;;;;;;;t5;sex;;;
4;4;2;1;4;3;5;4;5;4;4;5;5;5;4;4;3;4;3;3;2;4;4;3;3;4;3;;;;;3;4;3;4;5;5;5;5;5;5;5;5;5;5;;4;2;4;3;3;3;;;;;;;1;;1;1;3;4;4;4;4;2;4;4;4;5;5;1;2;;;;1;1;3;1;;4;4;3;4;4;4;3;4;3;4;5;4;3;5;5;5;4;3;3;Man;2018;;
4;4;4;3;3;3;3;4;3;4;4;4;3;3;4;4;3;3;3;3;3;3;4;3;4;4;4;;;;;3;3;3;3;3;3;3;3;3;2;3;3;3;3;;4;3;4;3;3;3;;;;;;;2;;1;1;3;3;3;3;4;4;4;4;4;4;4;1;2;;;;2;1;7;1;;3;3;3;3;3;2;3;3;3;2;4;3;4;3;3;3;3;3;3;Kvinna;2018;;
4;3;3;4;4;4;3;4;4;4;5;4;4;4;4;4;4;4;4;3;2;3;2;2;3;3;5;;;;;3;4;3;3;3;3;3;3;3;3;3;3;3;3;;5;4;4;4;4;3;;;;;;;1;;1;1;3;3;3;3;4;4;4;4;4;4;4;2;2;;;;2;2;;;;4;4;3;3;3;4;4;4;4;3;4;4;3;3;3;4;4;4;4;Kvinna;2018;;
4;3;4;4;5;5;5;5;-1;3;4;4;5;5;4;3;5;4;4;3;4;4;4;3;4;4;4;;;;;5;5;4;4;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;4;;;;;;;1;;1;1;5;5;5;5;5;5;5;4;4;5;-1;2;2;;;;2;2;;;;4;4;4;4;4;1;5;4;4;4;4;5;3;5;5;5;4;4;4;Man;2018;;
5;5;4;5;5;4;3;5;2;3;5;5;5;5;4;5;4;3;4;1;2;2;1;1;2;3;1;;;;;2;1;1;3;3;-1;-1;-1;4;-1;4;5;5;5;;4;4;3;3;4;1;;;;;;;5;;1;1;2;-1;-1;3;5;5;5;5;5;5;5;2;2;;;;2;2;;;;4;3;2;3;-1;2;3;3;3;3;4;4;3;4;4;4;1;1;4;Kvinna;2018;;
5;2;4;5;5;4;-1;4;-1;4;5;5;5;5;5;5;5;4;1;5;5;5;5;4;4;4;4;;;;;5;5;5;4;4;5;4;4;4;-1;-1;5;5;5;;5;5;5;5;5;5;;;;;;;3;;1;1;3;5;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;5;5;5;3;5;5;5;5;5;5;4;4;4;5;4;4;4;Man;2018;;
4;4;4;5;5;5;5;4;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;5;;;;;;;1;;1;1;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
4;4;4;4;5;4;5;4;3;4;5;5;5;-1;5;5;5;4;5;5;5;5;5;5;5;5;5;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;4;;3;4;4;5;4;5;;;;;;;1;;2;2;;;;;5;5;-1;-1;5;5;-1;2;2;;;;2;1;2;1;;4;4;4;4;4;1;4;4;4;4;4;5;5;4;4;4;4;4;4;Kvinna;2018;;
3;5;5;5;4;5;1;-1;4;-1;4;5;-1;-1;2;3;4;-1;1;5;4;-1;1;4;3;4;5;;;;;5;4;4;-1;-1;1;-1;-1;-1;-1;-1;-1;-1;3;;5;4;-1;5;5;4;;;;;;;1;;1;1;2;5;5;-1;5;-1;-1;-1;-1;-1;-1;2;2;;;;2;2;;;;4;5;5;5;5;4;4;4;4;4;5;3;3;2;5;5;5;4;5;Vill ej uppge;2018;;
4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;3;4;3;3;3;3;4;4;3;4;4;;;;;3;4;4;4;4;4;4;4;4;4;4;4;4;5;;4;4;3;3;4;3;;;;;;;1;;1;1;4;3;3;4;5;5;5;5;5;5;5;2;2;;;;1;2;;;;4;4;3;4;4;4;3;3;3;3;3;3;3;4;4;4;5;4;4;Vill ej uppge;2018;;
4;4;4;4;4;4;-1;4;4;4;4;4;4;-1;4;3;4;4;2;2;4;4;3;2;4;4;4;;;;;3;-1;4;4;4;4;4;-1;5;5;4;5;5;5;;4;4;4;4;4;3;;;;;;;3;;1;3;-1;-1;-1;-1;4;4;4;4;4;4;4;1;3;;;;1;3;;;;4;4;3;3;3;4;4;4;4;4;4;4;3;4;4;4;3;3;4;Man;2018;;
5;3;5;5;5;3;3;4;4;4;3;4;-1;5;4;4;3;4;1;1;1;1;1;2;3;2;1;;;;;3;4;4;4;1;3;2;2;1;-1;3;3;3;2;;4;2;4;3;3;2;;;;;;;3;;1;1;2;-1;-1;3;5;5;2;-1;2;5;5;2;2;;;;1;2;;;;5;4;3;3;3;1;3;4;4;3;5;4;2;2;3;4;4;5;3;Kvinna;2018;;
4;4;-1;4;5;4;5;5;4;4;5;4;5;4;5;5;5;5;5;4;4;5;4;4;4;5;5;;;;;5;5;4;5;4;5;5;5;5;5;5;5;4;5;;5;4;5;5;5;5;;;;;;;1;;1;1;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;4;5;5;1;5;5;5;4;5;4;5;5;5;5;5;5;5;Kvinna;2018;;
2;2;2;3;5;3;2;3;4;3;3;3;3;-1;3;3;2;-1;2;2;2;2;2;1;1;1;2;;;;;2;2;2;3;2;3;3;3;3;-1;2;-1;3;2;;2;4;2;2;2;-1;;;;;;;1;;1;1;2;2;2;2;2;4;5;-1;5;3;-1;1;1;1;1;;2;2;;;;3;5;2;2;2;2;2;2;2;2;3;3;1;2;2;2;4;4;4;Vill ej uppge;2018;;
5;4;4;2;5;2;5;5;4;4;4;4;5;1;5;5;5;-1;3;3;3;3;4;3;3;4;4;;;;;3;3;-1;4;4;4;3;3;5;-1;4;5;5;5;;5;3;4;2;1;2;;;;;;;3;;1;1;3;3;3;3;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;4;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;5;Vill ej uppge;2018;;
4;3;5;3;5;3;5;4;4;5;5;4;4;4;4;4;3;4;1;1;1;2;3;3;2;3;3;;;;;2;4;3;3;3;4;4;4;4;4;4;4;4;4;;4;3;3;2;3;2;;;;;;;1;;1;1;4;3;3;3;5;5;5;5;5;5;5;2;2;;;;2;2;;;;4;3;2;3;4;1;3;3;3;3;3;3;3;4;4;4;4;3;4;Kvinna;2018;;
4;3;4;4;4;4;-1;4;-1;4;3;4;-1;5;5;5;3;5;3;1;1;1;2;2;1;1;2;;;;;2;-1;3;3;-1;4;4;-1;4;-1;-1;-1;4;4;;4;3;4;3;3;-1;;;;;;;3;;1;1;-1;-1;-1;4;4;4;4;4;4;4;4;2;2;;;;3;2;;;;4;3;1;3;3;4;2;4;2;4;4;4;4;4;4;3;4;4;4;Kvinna;2018;;
4;5;5;4;5;3;5;4;4;4;4;5;5;4;4;4;5;5;5;5;4;4;4;5;5;5;5;;;;;4;5;4;4;5;5;5;5;5;4;4;5;5;5;;4;4;4;4;4;2;;;;;;;2;;3;1;;;;;5;4;-1;-1;5;5;5;2;2;;;;2;2;;;;3;3;5;4;4;4;3;3;5;3;4;5;4;5;5;5;5;5;5;Kvinna;2018;;
3;3;4;4;5;4;2;5;5;5;4;4;3;5;5;5;5;4;5;3;4;5;5;3;4;5;4;;;;;4;3;3;4;2;2;2;2;2;2;3;2;2;3;;5;4;4;5;5;5;;;;;;;2;;1;1;3;2;2;1;5;5;5;5;5;5;5;1;2;;;;2;2;;;;5;5;3;5;5;1;4;5;5;5;5;5;5;3;3;3;5;5;5;Kvinna;2018;;
5;5;3;4;4;2;4;4;4;4;4;3;4;4;4;3;3;4;3;1;1;1;1;1;1;2;2;;;;;1;1;3;3;2;2;2;3;2;2;3;5;3;4;;3;4;4;4;4;-1;;;;;;;3;;1;1;2;2;2;2;-1;4;4;-1;-1;-1;-1;2;2;;;;1;1;3;1;;4;3;1;-1;-1;4;1;4;1;2;5;4;2;4;4;4;5;4;5;Vill ej uppge;2018;;
4;2;2;2;5;3;3;4;4;4;5;5;3;-1;4;4;2;-1;1;1;1;2;2;1;1;2;2;;;;;2;3;-1;-1;-1;3;-1;-1;3;-1;2;4;-1;4;;5;2;4;1;4;-1;;;;;;;5;;1;2;2;-1;-1;4;5;5;-1;5;-1;-1;5;3;2;;;;3;2;;;;5;4;1;-1;-1;4;2;4;2;-1;4;4;4;3;3;2;2;2;2;Vill ej uppge;2018;;
3;3;5;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;2;4;4;3;2;3;3;4;4;;;;;4;4;4;4;4;4;4;4;4;3;4;4;4;4;;4;4;4;4;3;3;;;;;;;2;;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;1;1;3;1;;4;4;4;3;3;3;4;4;4;3;4;3;3;4;4;4;5;4;5;Kvinna;2018;;
4;3;4;4;4;3;3;4;4;3;4;3;4;3;4;4;4;4;4;2;2;3;4;3;3;3;3;;;;;2;3;2;4;3;2;2;2;3;3;3;4;3;3;;4;5;4;3;2;2;;;;;;;1;;2;2;;;;;4;4;3;4;3;4;4;3;2;;;;2;2;;;;5;5;3;4;4;3;4;4;4;4;4;3;4;4;4;4;5;3;5;Kvinna;2018;;
2;2;-1;2;4;2;-1;-1;3;3;2;2;4;2;2;2;1;2;2;2;1;1;2;2;2;2;1;;;;;2;2;2;4;-1;2;1;1;3;1;2;4;2;2;;2;3;2;2;3;2;;;;;;;1;;1;3;1;2;-1;2;4;2;3;3;3;3;3;1;1;7;2;;2;2;;;;5;3;1;3;3;2;2;2;2;3;2;3;3;2;4;2;2;2;2;Man;2018;;
4;4;5;5;5;5;5;5;5;5;4;4;5;5;5;5;4;5;4;3;4;4;3;3;4;5;-1;;;;;4;5;4;5;5;4;4;4;4;3;4;4;5;5;;5;3;4;4;4;3;;;;;;;2;;1;1;4;5;5;5;4;4;4;4;5;3;5;2;2;;;;2;2;;;;5;5;5;4;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
3;1;3;3;4;2;1;3;4;3;4;4;2;-1;4;4;3;-1;1;2;2;2;1;1;1;1;1;;;;;3;-1;-1;3;3;3;-1;2;3;-1;5;3;4;3;;4;4;3;3;3;2;;;;;;;4;;1;2;4;4;4;4;-1;-1;-1;-1;-1;-1;-1;3;2;;;;2;2;;;;5;5;2;3;2;4;3;5;3;2;4;2;3;1;2;3;3;4;4;Kvinna;2018;;
2;3;3;2;4;2;3;3;3;3;5;4;4;-1;2;3;2;5;2;2;1;3;5;2;3;4;3;;;;;3;3;4;3;4;5;4;5;5;4;5;5;5;5;;5;3;3;2;3;2;;;;;;;1;;1;1;3;3;4;3;5;5;5;5;5;5;-1;2;2;;;;2;2;;;;4;3;2;3;3;4;2;3;2;3;4;4;3;3;4;3;3;2;2;Kvinna;2018;;
5;3;5;5;5;5;5;5;5;5;5;4;5;4;5;5;5;5;4;4;5;5;3;3;4;4;4;;;;;5;5;5;5;5;5;5;5;4;4;4;5;5;5;;5;4;4;5;5;4;;;;;;;1;;1;1;4;5;5;5;4;4;4;-1;-1;4;-1;3;2;;;;1;2;;;;5;5;4;5;5;1;5;5;5;5;5;5;5;4;5;5;5;5;5;Kvinna;2018;;
3;3;4;3;4;3;4;4;4;4;4;4;4;4;4;5;4;4;1;5;4;4;4;4;5;5;5;;;;;4;4;4;4;4;4;4;4;4;4;4;4;5;5;;5;4;4;4;4;3;;;;;;;1;;1;1;4;4;4;4;5;5;5;5;5;5;5;2;2;;;;1;1;7;1;;5;5;5;4;4;1;4;5;5;4;5;5;5;4;4;4;4;4;4;Kvinna;2018;;
3;3;3;4;4;4;3;4;3;4;4;4;3;4;4;5;5;4;4;4;4;4;4;4;4;4;4;;;;;3;3;3;3;3;3;3;3;3;3;3;3;3;3;;5;4;4;3;3;3;;;;;;;1;;2;2;;;;;4;4;4;4;4;4;4;2;2;;;;2;2;;;;5;4;4;3;3;1;4;4;4;3;4;4;4;3;3;3;3;3;4;Kvinna;2018;;
5;3;5;5;5;4;5;4;5;5;5;5;5;-1;5;5;5;-1;1;5;5;4;5;5;3;3;5;;;;;5;5;5;4;5;5;-1;-1;5;-1;5;5;5;5;;5;5;5;5;2;5;;;;;;;1;;1;1;3;5;5;5;5;5;5;-1;5;5;-1;2;2;;;;2;2;;;;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
5;4;5;5;5;4;4;5;5;5;5;5;5;4;5;5;4;4;3;4;4;3;1;2;3;5;4;;;;;5;5;4;4;4;4;4;5;4;4;4;4;4;5;;5;4;5;4;4;4;;;;;;;1;;2;2;;;;;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;4;5;5;1;4;4;5;4;5;5;5;4;5;5;5;4;5;Kvinna;2018;;
5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;3;4;5;4;;;;;5;5;5;5;5;5;4;-1;5;-1;5;5;5;5;;5;5;5;5;5;5;;;;;;;1;;1;1;5;5;5;5;5;5;5;5;5;5;5;2;2;;;;1;2;;;;5;5;5;5;5;1;5;5;5;4;5;4;5;5;5;5;5;5;5;Man;2018;;
3;3;4;4;5;4;4;4;5;4;4;4;4;4;4;3;3;4;3;3;3;3;3;2;2;2;5;;;;;4;4;4;3;5;5;5;5;5;4;5;5;5;5;;5;5;4;4;5;4;;;;;;;1;;1;2;4;4;-1;5;5;5;5;5;5;5;5;1;2;;;;2;2;;;;5;5;3;4;4;1;4;4;4;4;4;5;4;5;5;5;4;4;4;Kvinna;2018;;
5;4;4;4;3;3;4;3;4;4;3;3;4;3;4;4;4;4;1;4;5;4;3;4;4;4;4;;;;;4;4;4;4;4;4;4;4;4;4;4;4;4;5;;3;4;4;4;4;4;;;;;;;3;;1;1;3;-1;2;3;4;4;4;4;4;5;5;2;2;;;;2;2;;;;5;5;5;5;5;1;5;5;4;4;4;4;4;4;4;4;4;4;5;Kvinna;2018;;
4;4;5;5;5;5;5;4;4;4;5;4;5;4;5;5;5;5;1;3;4;3;3;3;3;4;3;;;;;5;5;5;4;5;5;5;5;4;5;5;5;5;5;;5;4;4;4;4;3;;;;;;;1;;1;1;4;5;4;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;4;4;5;5;1;5;5;5;5;5;5;4;5;5;5;5;5;5;Kvinna;2018;;
4;1;3;4;4;4;2;5;2;5;5;5;4;4;4;5;2;3;1;3;2;2;3;2;2;2;3;;;;;4;4;-1;4;-1;4;4;-1;-1;4;4;4;5;4;;5;4;5;3;3;2;;;;;;;3;;2;1;;;;;5;5;5;5;5;5;5;2;2;;;;2;2;;;;4;4;4;4;4;1;4;4;3;4;4;3;4;2;3;3;4;4;5;Kvinna;2018;;
4;4;4;4;5;4;5;4;4;4;4;4;5;-1;4;4;5;4;4;1;1;3;1;1;1;1;1;;;;;3;3;-1;4;-1;-1;4;-1;4;-1;4;5;4;5;;4;5;5;4;5;-1;;;;;;;3;;2;2;;;;;-1;-1;-1;-1;-1;-1;-1;1;2;;;;1;2;;;;5;3;2;3;3;1;2;5;4;4;5;5;4;5;5;4;4;4;5;Man;2018;;
3;1;3;4;5;4;2;3;4;4;4;5;3;4;3;2;5;4;1;4;4;3;3;4;4;4;5;;;;;4;3;2;4;4;2;3;3;3;3;2;1;2;2;;4;5;4;4;4;2;;;;;;;4;;1;1;1;3;3;3;-1;1;5;3;4;3;4;1;2;;;;2;2;;;;4;5;4;4;3;1;2;3;3;3;4;3;3;2;3;4;4;2;3;Kvinna;2018;;
3;3;1;2;5;2;4;3;4;3;3;2;4;2;2;4;4;2;1;5;5;3;1;4;4;5;5;;;;;4;4;3;3;4;5;4;5;5;4;4;5;5;5;;3;5;3;3;5;4;;;;;;;1;;1;2;4;3;5;4;5;5;5;5;5;5;5;2;2;;;;2;2;;;;4;5;5;2;2;4;4;4;4;2;5;3;5;5;5;4;5;4;5;Kvinna;2018;;
5;3;4;4;4;4;4;5;4;5;4;4;4;3;4;5;5;4;4;5;5;4;5;4;4;5;5;;;;;4;3;4;4;4;4;4;3;4;4;4;4;5;5;;5;4;4;4;3;3;;;;;;;2;;1;1;4;4;4;4;5;5;4;5;5;5;5;2;2;;;;2;2;;;;5;4;4;4;4;1;5;5;5;4;5;5;5;4;4;4;4;4;5;Kvinna;2018;;
5;4;5;4;5;5;5;5;4;5;5;5;5;5;5;5;5;5;4;4;4;4;4;3;5;5;5;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;5;;;;;;;1;;1;1;4;4;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;4;4;4;4;4;5;5;5;4;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
4;4;4;4;4;3;4;4;4;4;3;3;4;3;4;5;4;5;4;5;5;4;5;4;5;5;5;;;;;5;4;4;4;4;4;4;4;5;5;5;5;5;4;;3;4;4;4;4;4;;;;;;;2;;1;1;4;4;4;4;5;5;5;5;5;5;5;3;2;;;;1;2;;;;4;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;Kvinna;2018;;
5;5;4;3;3;3;3;3;5;5;5;5;5;4;4;4;5;5;3;5;4;3;2;3;2;3;5;;;;;4;2;2;3;4;4;4;4;5;5;5;5;5;5;;5;4;4;3;4;3;;;;;;;1;;1;1;3;3;3;3;5;5;5;5;5;5;5;3;2;;;;3;2;;;;5;5;4;4;4;1;4;4;4;4;5;3;5;5;5;5;4;4;5;Kvinna;2018;;
4;4;4;4;4;4;4;4;-1;4;4;4;4;4;4;4;4;4;4;4;4;4;5;4;4;4;4;;;;;4;4;4;4;4;4;4;4;3;4;4;3;4;4;;4;4;4;4;4;3;;;;;;;2;;1;1;3;4;4;4;4;4;4;-1;4;4;4;2;2;;;;1;2;;;;4;4;4;3;3;1;4;4;4;4;4;3;4;4;4;4;4;3;4;Kvinna;2018;;
3;4;4;3;4;4;2;3;3;3;4;3;3;4;3;3;3;3;4;4;5;4;2;3;3;3;4;;;;;3;3;3;3;3;2;2;3;3;2;3;4;3;4;;4;3;2;2;3;3;;;;;;;3;;1;3;3;3;4;4;5;-1;5;5;5;5;5;1;3;;;;1;2;;;;5;3;3;3;4;4;3;4;3;3;4;3;4;2;3;4;4;3;4;Kvinna;2018;;
2;2;3;3;4;2;3;3;3;2;1;3;3;2;3;4;4;3;2;4;4;3;4;4;4;4;5;;;;;2;-1;2;3;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;5;5;3;3;3;2;;;;;;;2;;2;2;;;;;4;5;5;-1;-1;-1;-1;3;2;;;;1;1;3;1;;5;3;5;3;5;1;5;5;3;3;5;5;3;1;1;1;3;1;4;Man;2018;;
4;4;4;5;5;3;3;4;5;5;4;4;4;3;4;5;5;5;4;5;5;5;4;5;5;5;5;;;;;4;4;3;4;4;4;4;4;4;4;4;4;4;5;;4;5;5;3;3;3;;;;;;;1;;2;2;;;;;5;5;5;5;5;5;5;1;2;;;;2;2;;;;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;3;5;Kvinna;2018;;
3;3;5;4;4;3;3;5;4;4;4;3;4;3;4;5;4;-1;4;4;3;4;5;3;3;4;4;;;;;5;-1;-1;4;-1;4;4;-1;4;-1;5;5;5;5;;5;5;-1;-1;-1;-1;;;;;;;5;;2;2;;;;;5;5;5;5;5;5;5;3;2;;;;1;1;3;2;;4;5;4;3;3;1;4;4;4;5;5;3;4;4;5;4;4;4;4;Kvinna;2018;;
3;3;3;2;4;3;3;3;4;4;3;3;4;3;4;2;2;3;3;1;1;2;1;1;1;1;1;;;;;2;2;3;5;3;3;3;3;2;3;3;2;3;3;;4;4;3;3;4;3;;;;;;;1;;2;2;;;;;3;3;4;4;4;4;4;3;2;;;;1;2;;;;4;5;1;3;3;4;2;2;2;4;4;4;2;3;4;2;4;3;4;Kvinna;2018;;
3;3;4;3;4;4;4;4;4;4;3;3;4;3;3;5;3;3;3;2;3;3;3;2;2;3;3;;;;;3;3;3;4;4;5;5;4;4;4;4;4;5;5;;4;3;3;3;3;3;;;;;;;5;;1;2;4;4;4;5;4;4;4;4;4;4;4;1;1;"3;7";2;;3;1;3;2;;4;4;3;4;4;1;4;4;4;4;4;4;4;4;4;3;3;3;4;Kvinna;2018;;
4;3;3;4;5;4;4;4;3;3;4;4;4;5;5;4;4;4;4;3;2;3;3;2;3;4;4;;;;;4;-1;3;4;-1;-1;-1;-1;5;-1;-1;-1;-1;5;;4;5;4;2;5;1;;;;;;;1;;2;2;;;;;4;4;4;-1;4;-1;-1;3;2;;;;3;2;;;;5;4;3;2;3;2;4;4;4;2;4;3;4;5;4;3;5;3;5;Man;2018;;
5;5;5;4;5;1;1;5;5;5;3;5;-1;4;4;3;2;-1;5;5;5;5;5;4;5;5;5;;;;;5;5;-1;5;-1;-1;-1;-1;-1;-1;2;-1;-1;2;;5;5;5;-1;5;-1;;;;;;;4;;2;2;;;;;5;5;5;-1;5;-1;-1;2;2;;;;2;2;;;;5;5;5;3;3;4;4;4;4;3;5;5;4;1;1;5;5;5;5;Kvinna;2018;;
4;5;5;4;5;4;4;4;5;5;4;4;5;4;5;5;5;5;5;5;4;4;3;4;2;3;4;;;;;4;5;5;5;4;4;4;4;4;4;4;4;4;4;;5;5;5;4;4;4;;;;;;;3;;1;1;4;5;5;5;4;4;4;4;4;4;4;2;2;;;;2;2;;;;5;5;5;4;4;1;5;5;5;5;5;5;5;4;5;5;5;5;5;Kvinna;2018;;
4;2;2;2;5;2;2;3;4;4;4;3;-1;3;3;4;4;4;2;3;4;3;3;4;3;3;3;;;;;3;-1;3;4;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;;4;4;2;2;4;-1;;;;;;;4;;2;2;;;;;4;4;4;4;4;4;4;2;2;;;;2;2;;;;3;4;3;3;3;4;2;2;2;3;2;2;3;3;3;3;3;3;4;Vill ej uppge;2018;;
4;4;2;4;4;2;4;3;4;3;2;2;4;3;3;4;3;4;1;2;3;3;1;1;3;3;2;;;;;1;-1;3;3;4;3;4;4;4;-1;4;5;5;3;;3;3;2;4;2;-1;;;;;;;1;;2;2;;;;;4;5;5;-1;5;5;-1;2;2;;;;1;1;3;1;;5;3;3;4;-1;4;3;4;2;4;5;5;4;4;3;4;4;3;4;Kvinna;2018;;
4;3;4;3;3;4;4;4;5;3;4;3;4;2;4;4;4;4;3;3;3;4;3;1;3;3;2;;;;;4;3;2;3;3;2;2;2;2;3;3;3;4;3;;4;3;3;3;3;2;;;;;;;1;;1;2;2;3;2;2;-1;3;3;-1;3;-1;-1;1;2;;;;2;2;;;;3;5;4;3;4;4;3;3;3;3;5;2;2;4;5;4;3;3;4;Man;2018;;
4;4;4;4;3;3;4;4;4;4;3;3;4;3;4;3;3;3;4;4;4;4;4;4;4;3;3;;;;;3;3;4;4;3;4;4;3;4;3;4;4;4;3;;4;4;4;3;3;3;;;;;;;1;;1;1;3;3;4;3;4;4;4;4;4;4;4;2;2;;;;2;2;;;;4;4;4;4;4;3;4;3;3;3;3;4;3;4;4;4;4;4;4;Man;2018;;
4;4;-1;2;5;5;2;4;4;4;5;5;3;5;5;5;5;2;4;3;3;-1;2;1;3;2;3;;;;;3;-1;-1;4;3;3;5;4;4;4;2;-1;4;5;;5;4;2;5;4;4;;;;;;;1;;2;1;;;;;5;5;5;5;5;5;5;2;2;;;;1;1;3;1;;5;5;3;-1;4;1;5;5;5;5;5;5;4;2;2;4;4;4;4;Kvinna;2018;;
4;4;4;5;5;4;4;5;4;4;4;4;4;5;4;4;3;5;4;4;3;4;4;3;3;4;4;;;;;4;4;3;4;4;4;4;4;4;4;4;4;4;4;;5;4;4;4;4;3;;;;;;;3;;1;1;3;4;4;4;5;5;5;5;5;5;5;2;2;;;;2;1;3;2;;5;4;4;4;4;3;4;4;4;3;4;4;4;4;4;4;4;3;4;Man;2018;;
1;1;4;2;3;2;3;-1;5;-1;2;2;4;-1;3;5;-1;3;1;4;3;1;5;2;1;4;4;;;;;-1;-1;3;-1;4;4;-1;3;-1;-1;4;4;4;4;;4;5;-1;-1;3;-1;;;;;;;2;;1;1;-1;-1;4;4;2;2;2;-1;4;5;5;2;2;;;;3;2;;;;5;5;3;4;-1;1;4;4;4;-1;5;4;3;5;5;4;4;4;4;Kvinna;2018;;
4;4;4;3;5;4;5;5;5;5;5;5;5;5;5;5;2;5;2;2;1;2;1;1;2;2;1;;;;;3;5;-1;5;4;2;4;2;4;5;5;4;4;5;;5;3;5;5;3;1;;;;;;;1;;1;1;3;3;4;3;2;4;4;-1;5;5;5;2;2;;;;2;2;;;;4;4;2;1;1;4;4;4;4;2;4;5;4;5;5;4;5;5;4;Kvinna;2018;;
4;3;4;5;5;3;5;4;5;4;4;4;5;4;5;5;4;5;4;3;2;3;2;1;2;2;4;;;;;3;4;4;4;4;5;4;4;4;5;5;5;5;5;;4;5;5;5;5;3;;;;;;;5;;1;1;4;5;5;5;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;2;-1;4;1;4;5;4;4;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
4;4;4;2;5;4;5;5;4;5;5;5;5;5;5;5;4;3;1;3;3;2;3;1;2;4;4;;;;;5;5;4;4;5;5;5;5;5;5;5;5;5;5;;5;4;5;4;4;-1;;;;;;;3;;1;1;4;-1;4;4;5;5;5;5;5;5;5;2;2;;;;1;1;3;1;;5;4;4;4;4;1;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
3;3;4;5;5;4;5;5;5;5;4;4;5;5;5;5;2;3;1;4;4;3;5;3;3;5;5;;;;;4;4;3;4;4;5;4;4;4;4;4;4;5;5;;4;4;4;4;4;3;;;;;;;1;;1;1;4;4;4;4;5;5;5;5;5;4;-1;3;2;;;;1;2;;;;5;5;4;3;3;1;3;5;3;3;5;5;5;5;5;4;5;5;5;Kvinna;2018;;
5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;-1;5;5;5;5;5;5;5;4;3;;;;;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;5;5;5;5;5;5;;;;;;;2;;2;2;;;;;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;5;5;5;5;1;5;5;5;5;5;5;5;5;5;5;5;5;5;Kvinna;2018;;
3;3;3;3;4;3;4;4;5;5;4;4;4;4;4;4;3;4;4;3;4;4;4;4;3;4;4;;;;;3;4;4;4;4;4;4;4;4;4;4;4;4;5;;5;4;4;4;4;4;;;;;;;1;;3;1;;;;;5;5;5;5;5;5;5;3;2;;;;2;2;;;;4;4;4;4;4;1;4;4;4;4;5;5;5;5;5;5;4;4;4;Kvinna;2018;;
4;3;4;3;5;4;4;3;3;4;4;4;4;4;5;4;4;5;4;3;3;4;4;3;3;4;4;;;;;4;4;4;4;4;3;4;4;4;4;4;4;4;4;;4;4;3;4;5;4;;;;;;;1;;1;1;3;4;4;4;5;5;5;5;5;5;5;2;2;;;;2;2;;;;5;4;4;4;4;1;4;4;4;4;4;4;4;4;4;4;4;4;4;Man;2018;;
4;4;-1;4;5;5;3;5;4;5;5;4;4;4;4;5;5;5;5;3;4;4;3;4;4;5;4;;;;;4;5;5;5;4;4;4;4;4;5;4;5;5;5;;4;4;5;5;5;3;;;;;;;1;;1;1;3;4;5;4;5;5;5;5;5;5;5;2;2;;;;2;1;6;1;;5;5;4;5;5;1;4;4;4;5;5;5;5;4;5;5;5;5;5;Kvinna;2018;;
