;age;sex;t3;t1;t8;t2;t13;l1;;;t6;k3;k1;k2;;k4;;;a1;;;;;;;;;;;;;;;;;;;;;;;;;;;v2;v1;;;;;;;;;t7;t10;t9;t11;;;;y5
2022-08-25 11:20;4;2;4;4;4;4;4;2;3;2;2;4;4;3;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-25 11:21;4;2;3;3;4;1;3;3;3;2;2;4;4;4;3;3;3;2;3;;;;;;;;;;;;;;;1;3;2;3;3;3;;;;;;;2;2;;;;;;;;4;3;3;3;4;2;1;2;2
2022-08-25 11:20;4;2;5;3;4;5;5;4;4;3;1;3;4;4;2;5;5;5;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;4;2;3;3;5;4;4
2022-08-25 11:29;4;2;5;3;4;3;4;2;5;1;1;5;3;4;3;1;5;3;4;;;;;;;;;;;;;;;3;3;3;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;3;3;4;4;1
2022-08-25 11:48;5;2;3;5;4;4;5;4;4;4;4;4;4;3;3;4;4;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;3;3;3;4;3;4;4;4;1
2022-08-25 11:28;1;1;2;2;1;2;2;1;1;1;2;3;2;4;2;2;3;4;4;;;;;;;;;;;;;;;2;2;1;3;1;3;;;;;;;2;2;;;;;;;;1;2;1;1;2;2;1;2;2
2022-08-25 11:25;2;2;4;3;5;4;3;4;5;5;4;5;4;4;5;5;5;3;2;1;;;;;;7;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;3;4;4;4;3;3;4
2022-08-25 11:28;4;1;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;3;;;;;;;;;;;;;;;3;3;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;4;4;4;4;1
2022-08-25 11:26;2;2;5;5;5;5;5;5;5;5;5;5;4;3;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-25 11:30;5;1;4;4;4;3;3;3;3;3;4;6;3;1;1;1;3;5;5;;;;;;;;;;;;;;;3;3;1;3;3;3;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;4
2022-08-25 11:31;2;2;5;5;5;5;4;5;5;5;5;5;4;4;5;5;5;5;5;;;;;;;;;;;;;;;3;3;1;3;3;3;;;;;;;2;2;;;;;;;;2;3;4;4;5;5;5;4;1
2022-08-25 11:39;3;2;4;4;4;4;4;3;4;5;3;2;3;3;5;5;4;3;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;5;5;5;4;5;1
2022-08-25 11:42;4;2;5;5;5;4;5;3;5;4;1;4;4;4;2;5;5;3;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;5;5;5;5;1
2022-08-25 11:38;2;1;4;4;4;4;3;1;2;1;6;2;3;3;3;3;4;4;4;;;;;;;;;;;;;;;2;3;1;3;1;2;;;;;;;2;2;;;;;;;;1;3;2;3;3;3;1;6;2
2022-08-25 11:45;4;1;4;5;4;4;4;3;4;4;4;4;4;3;4;4;4;4;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;5;6;4;4
2022-08-25 11:41;3;2;4;4;4;5;5;3;5;4;4;4;3;3;4;4;4;4;4;;;;;;;;;;;;;;;1;2;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;4
2022-08-25 12:03;5;1;5;4;4;4;4;3;3;2;2;3;3;2;2;4;4;4;3;;;;;;;;;;;;;;;3;3;3;3;3;2;;;;;;;2;2;;;;;;;;1;4;4;3;4;3;4;5;1
2022-08-25 11:46;1;2;3;4;3;4;4;2;4;6;3;3;3;3;2;4;3;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;3;4;6;3;4
2022-08-25 11:53;5;2;5;4;4;4;4;4;5;5;3;4;4;4;3;3;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;4;4;4;5;5;6;4;3
2022-08-25 11:54;2;2;5;4;4;5;4;4;5;4;3;4;4;3;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;4;4;4;4;4;4;1
2022-08-25 12:03;3;1;4;4;5;4;3;2;2;2;4;4;4;4;4;4;5;5;4;;;;;;;;;;;;;;;1;1;1;3;3;2;;;;;;;2;2;;;;;;;;2;4;4;3;5;3;5;5;4
2022-08-25 12:00;3;2;2;1;1;1;2;2;1;1;2;1;1;1;1;1;1;1;1;;;3;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;1;2;;;;;;;;3;1;1;1;1;1;1;1;1
2022-08-25 12:00;3;1;4;5;4;3;5;3;4;4;4;3;3;4;2;2;3;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;5;5;5;5;1
2022-08-25 11:56;1;2;4;3;3;3;3;3;4;4;3;3;3;4;4;4;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;4;4;6;3;4
2022-08-25 12:00;5;2;5;5;5;5;5;3;3;3;3;4;4;3;3;4;4;4;2;;;3;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;3;4;5;5;5;6;4;4
2022-08-29 14:26;3;2;4;3;3;3;3;3;3;4;2;3;2;3;3;3;3;3;3;;;;;;;;;;;;;;;1;3;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;6;3;4
2022-08-25 12:09;4;1;5;5;4;4;4;1;3;3;3;4;4;4;3;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;5;4
2022-08-25 12:10;3;2;4;4;4;4;4;2;2;1;4;3;3;3;3;2;4;4;2;;;3;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;4;3;3;4;4;4;4;4
2022-08-25 12:15;3;1;5;2;2;2;1;2;2;2;2;2;2;5;2;2;2;2;2;1;2;3;4;;;7;;;;;;;;2;2;1;2;1;1;1;2;;;1;2;2;2;;;;;;;;1;1;1;1;1;2;1;4;2
2022-08-25 12:13;5;1;3;3;3;3;3;3;4;4;2;3;4;3;3;3;3;2;1;;;3;;;;;;;;;;;;1;3;1;3;3;2;;;;;;;2;2;;;;;;;;2;3;3;3;3;3;1;3;2
2022-08-25 12:15;4;2;5;5;5;3;5;4;5;5;3;4;4;3;3;4;4;5;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;5;5;5;5;5;1
2022-08-25 12:15;2;1;4;4;4;4;3;5;5;4;4;3;4;5;3;4;3;5;5;;;;;;;;;;;;;;;3;3;3;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;2;2;2;3;3;1
2022-08-25 12:17;2;3;1;1;1;1;2;1;1;1;1;1;1;5;1;1;1;1;1;1;2;3;4;5;;;;;;;;;;2;2;2;3;1;1;1;;;;2;;2;2;;;;;;;;2;2;1;1;1;1;1;1;2
2022-08-25 12:36;5;2;1;1;1;2;1;1;1;1;5;2;2;2;3;2;2;2;2;;;3;;;6;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;2;2;2;1;1;5;1;3
2022-08-25 12:16;5;2;4;4;4;4;4;3;4;4;4;6;6;6;3;3;4;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;3;4;4;4;4;4;1
2022-08-25 12:23;2;2;5;5;3;5;5;5;5;5;3;4;5;5;3;5;5;3;4;;;;;;;;;;;;;;;3;3;1;1;1;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;2;6;3;4
2022-08-25 12:20;2;2;3;5;3;5;5;2;4;3;5;2;2;5;6;5;4;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;4;3;4;5;4;4;1;3;2
2022-08-25 12:23;2;1;4;3;3;4;5;4;3;4;3;3;2;4;4;4;4;5;4;;;;;;;;;;;;;;;1;2;1;3;2;2;;;;;;;1;2;;;;;;;;1;3;4;3;3;3;1;3;2
2022-08-25 12:38;5;2;5;5;5;4;5;4;5;4;3;4;4;4;3;3;4;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;1;;;3;;2;;Anonym;3;4;4;3;1;3;1;4;3
2022-08-25 12:38;4;1;5;5;5;2;3;3;3;2;2;5;5;5;5;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;4;4;6;4;4
2022-08-25 12:38;4;2;4;4;4;4;4;2;3;2;5;4;4;4;4;4;4;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;1
2022-08-25 12:38;2;2;3;5;3;3;5;5;5;5;1;3;5;5;3;4;5;3;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;1;;1;3;3;3;3;3;1;3;2
2022-08-25 12:40;2;1;4;3;2;3;5;1;1;1;3;3;2;4;1;1;2;1;1;;;;;;;7;;;;;;;;2;2;2;2;1;1;1;;;;1;2;2;2;;;;;;;;1;3;3;1;5;5;5;5;1
2022-08-25 12:40;5;2;3;3;3;2;4;2;2;1;1;2;2;2;2;2;2;2;2;1;;;4;;6;;;;;;;;;2;2;2;2;3;3;;;;;;;3;3;;;;;;;;1;2;2;2;2;2;2;2;4
2022-08-25 12:50;4;2;6;2;1;1;3;6;6;6;3;6;1;3;1;1;1;3;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;4;1;1;3;2;2;6;2;2
2022-08-25 12:49;2;1;4;3;4;4;3;4;4;3;2;4;3;4;3;2;4;3;4;;;;;;;;;;;;;;;1;3;1;3;1;2;;;;;;;1;2;;;;;;;;1;4;4;4;4;4;4;4;4
2022-08-25 12:50;7;4;2;2;2;2;4;2;4;2;3;1;1;4;1;1;1;1;1;1;;3;4;;;7;;;;;;;;2;2;2;2;1;1;1;2;;;1;2;2;2;;;;;;;;3;2;2;2;4;1;2;1;4
2022-08-25 12:45;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;4;5;1
2022-08-25 12:52;5;1;5;5;5;5;5;4;4;4;2;4;5;5;4;4;5;5;5;;;;;;;;;;;;;;;1;3;3;3;2;3;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;4;4;1
2022-08-25 13:29;5;2;5;5;5;4;5;5;5;5;2;4;5;5;4;5;5;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;4;5;4;5;5;5;5;5;1
2022-08-25 12:53;5;2;5;5;5;5;5;5;5;5;4;4;4;4;4;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;4;4;4;4;4;5;4;1
2022-08-25 13:00;5;2;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;1;4;3
2022-08-25 13:17;5;2;4;4;4;3;3;2;3;3;4;4;4;4;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;5;5;5;5;1
2022-08-25 12:57;2;2;4;4;3;2;3;3;4;3;1;2;2;4;3;4;3;4;4;;;;;;;;;;;;;;;3;3;2;3;2;2;;;;;;;2;2;;;;;;;;1;2;2;3;3;3;1;1;2
2022-08-25 12:58;2;1;4;4;3;3;3;3;4;4;2;1;2;4;2;3;1;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;4;3;3;4;4;4;6;5;4
2022-08-25 12:57;1;2;2;4;3;2;3;5;5;5;3;2;4;5;1;3;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;3;2;2;4;3;2;3;2
2022-08-25 12:58;1;2;5;5;5;5;4;5;5;5;4;5;5;6;5;5;5;5;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-25 13:00;5;2;4;4;4;3;4;1;2;2;3;1;2;4;1;2;2;4;4;;;;;;;;;;;;;;;1;3;3;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;4;3;4;3;4
2022-08-25 13:01;2;2;4;4;4;4;5;5;5;5;3;4;4;4;3;4;5;4;4;;;;;;;;;;;;;;;3;3;3;3;3;2;;;;;;;2;2;;;;;;;;2;3;4;3;3;3;3;3;1
2022-08-25 13:01;4;2;3;2;1;1;2;1;2;1;1;3;3;4;3;2;1;5;5;;;;;;;;;;;;;;;1;3;1;3;1;2;;;;;;;2;2;;;;;;;;1;2;1;3;2;2;5;5;2
2022-08-25 13:38;1;1;3;4;4;4;6;1;1;1;1;5;3;5;5;3;3;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;4;3;5;3;4;4;1
2022-08-25 13:03;5;2;5;4;4;4;5;4;4;4;3;4;3;3;4;4;4;4;4;;;;;;;;;;;;;;;1;3;1;3;1;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;5;5;1
2022-08-25 13:06;3;2;5;5;4;4;4;4;5;5;3;3;4;4;4;4;4;5;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;3;4;4;4;4;5;4;4;4
2022-08-25 13:08;5;2;4;4;4;4;4;4;4;4;1;2;3;3;1;1;3;2;2;;;3;;5;6;;;;;;;;;2;1;1;3;1;2;;;;;;;2;2;;;;;;;;1;3;3;3;2;2;3;2;2
2022-08-25 13:06;4;2;3;3;3;2;4;3;3;3;2;2;2;3;2;3;2;3;3;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;2;2;2;3;3;3;3;4
2022-08-25 13:06;1;2;3;4;2;3;3;2;3;3;1;4;3;4;3;2;5;5;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;4;3;2;3;4
2022-08-25 13:12;2;2;5;5;5;5;5;2;2;3;3;5;4;3;4;4;5;5;5;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;5;5;5;4;4;1
2022-08-25 15:24;2;2;4;3;4;4;5;5;5;5;3;1;1;1;2;2;3;4;3;;;;;;;;;;;;;;;1;1;1;1;2;1;1;;;;2;;2;2;;;;;;;;2;2;4;3;3;4;2;4;4
2022-08-25 13:14;3;2;4;4;3;4;5;3;4;3;4;3;3;3;3;3;3;4;2;1;;3;;;;;;;;;;;;3;3;3;3;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;3;3;6;6;4
2022-08-25 13:56;4;2;5;4;4;4;4;4;4;4;3;3;3;4;4;4;3;3;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;3;3;3;6;6;4
2022-08-25 13:22;4;1;3;3;3;3;3;3;3;3;3;3;3;5;3;3;3;5;5;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;3;3;1;3;2
2022-08-25 13:19;4;2;3;4;3;3;4;4;5;4;4;4;4;4;3;4;4;4;4;;;;;;;;;;;;;;;1;1;1;1;1;2;;;;;;;2;2;;;;;;;;1;4;4;4;3;3;3;3;1
2022-08-25 13:19;1;2;4;5;3;5;3;2;4;5;5;4;3;4;1;4;5;4;4;;;;;;;;;;;;;;;2;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;5;3;4;5;3;4;4
2022-08-25 13:19;2;2;3;4;2;3;3;2;4;3;4;1;1;2;2;1;2;3;3;;;;;;;;;;;;;;;3;3;3;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;3;3;2;2;4
2022-08-25 13:24;5;2;5;5;5;5;4;3;3;3;3;4;4;5;4;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;5;4;4;5;5;1;4;3
2022-08-25 13:29;5;2;4;4;4;4;4;3;4;4;4;4;4;3;4;5;5;4;4;;;;;;;;;;;;;;;1;1;1;2;3;2;;;;;;;2;2;;;;;;;;1;4;4;3;3;3;2;4;3
2022-08-25 13:30;1;1;3;3;3;4;3;2;3;2;2;3;2;4;3;4;5;2;3;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;2;4;2;2;2;6;3;4
2022-08-25 13:31;5;2;3;3;3;3;4;3;3;3;2;3;3;3;2;3;3;3;3;;;;;;;;;;;;;;;3;3;3;3;3;2;;;;;;;2;2;;;;;;;;3;3;3;3;6;6;6;6;3
2022-08-25 13:31;3;1;5;4;4;2;4;3;4;3;2;3;4;4;3;4;2;3;2;1;;;4;5;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;3;3;3;4;4;4;4;1
2022-08-25 13:30;2;2;2;2;2;3;2;1;2;2;4;2;2;3;2;2;2;3;3;;;;;;;;;;;;;;;3;2;2;3;1;2;;;;;;;2;2;;;;;;;;4;2;2;2;2;2;2;2;2
2022-08-25 13:32;3;1;4;4;4;4;5;5;5;5;4;5;4;4;4;4;3;5;5;;;;;;;;;;;;;;;2;3;1;3;1;3;;;;;;;2;2;;;;;;;;2;4;4;5;5;5;5;5;1
2022-08-25 13:37;5;2;4;4;4;5;4;4;4;4;4;5;5;4;5;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;3;5;3
2022-08-25 13:35;3;2;5;5;5;5;4;5;5;5;3;5;5;5;5;5;5;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;5;5;5;5;5;5;5;1
2022-08-25 13:51;5;1;4;4;4;3;4;3;3;2;4;4;4;4;3;5;5;3;3;;;;;;;;;;;;;;;1;2;1;3;3;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;5;5;1
2022-08-25 13:37;5;2;5;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;2;1;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;6;4;4
2022-08-25 13:41;4;2;4;2;3;2;2;2;3;3;2;1;1;3;1;1;3;4;4;;;;;;;;;;;;;;;2;3;3;3;1;2;;;;;;;2;2;;;;;;;;2;2;2;2;2;2;4;4;1
2022-08-25 13:39;3;1;4;4;3;3;4;5;5;5;4;3;4;3;4;4;3;4;2;;;3;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-25 14:39;5;2;5;5;4;3;3;3;3;3;4;4;4;4;3;4;4;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;5;5;4;5;4;4;4;1
2022-08-25 14:43;3;1;5;5;5;5;5;5;5;5;4;4;4;4;4;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;4;5;5;5;5;5;5;5;1
2022-08-25 14:01;2;2;4;4;3;4;4;4;4;4;1;4;4;4;2;5;4;4;4;;;;;;;;;;;;;;;3;3;3;3;2;2;;;;;;;2;2;;;;;;;;2;2;2;3;3;3;4;3;4
2022-08-25 13:52;4;2;5;5;5;5;5;5;5;5;2;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;4
2022-08-25 13:53;4;2;5;4;4;4;5;4;4;4;4;5;4;3;3;4;4;4;4;;;;;;;;;;;;;;;1;3;3;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;5;4;1
2022-08-25 13:58;4;2;3;3;3;4;5;2;4;4;3;4;6;4;4;4;4;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;3;3;6;6;4
2022-08-25 13:57;2;2;5;4;5;5;4;5;5;5;3;4;4;4;5;5;5;5;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;5;4;4;4;4;5;5;1
2022-08-25 14:07;2;1;3;3;3;3;3;3;3;3;4;5;2;3;2;3;2;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;2;2;3;3;3;6;6;4
2022-08-26 07:42;3;2;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;4;4;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;3;3;4;4;6;6;4
2022-08-25 14:03;3;1;5;5;5;4;4;4;5;5;5;5;4;4;4;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-25 14:06;5;2;5;4;4;4;4;3;5;3;1;3;4;4;3;3;3;4;3;;;;;;;;;;;;;;;3;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;1;3;3
2022-08-25 14:17;5;2;4;4;4;3;4;5;5;5;3;3;4;5;3;4;4;3;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;3;3;4;1;3;3
2022-08-25 14:21;4;2;5;5;5;5;5;4;4;4;3;4;4;4;4;5;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;4;4;5;5;5;5;1
2022-08-25 14:21;4;1;4;3;3;4;3;3;3;3;2;3;3;4;3;4;3;4;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;3;3;3;3;3;3;3;4
2022-08-25 14:29;4;2;4;4;3;4;3;3;4;3;5;4;3;4;3;5;4;4;5;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;3;4;1
2022-08-25 14:24;4;2;4;4;3;3;5;4;4;4;2;3;4;4;3;5;3;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;5;5;5;2
2022-08-25 14:25;4;2;5;5;5;5;5;5;5;5;4;4;4;3;4;5;5;5;4;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;3;5;5;5;5;5;5;5;1
2022-08-25 14:31;4;2;4;4;4;2;3;3;4;4;3;4;3;3;3;4;4;3;3;;;;;;;;;;;;;;;2;1;1;3;1;2;;;;;;;2;2;;;;;;;;2;3;3;4;4;3;6;3;4
2022-08-25 14:41;1;1;4;5;4;4;4;5;5;5;4;5;4;5;5;4;5;5;5;;;;;;;;;;;;;;;2;3;3;3;1;1;;2;;;2;;2;2;;;;;;;;2;4;5;4;5;5;1;5;2
2022-08-25 14:38;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-25 14:48;1;2;4;4;5;2;5;2;5;5;1;2;2;6;2;4;5;4;4;;;;;;;;;;;;;;;1;3;2;1;2;2;;;;;;;2;2;;;;;;;;1;2;6;2;5;1;6;1;4
2022-08-25 14:42;4;1;5;4;4;2;4;5;5;5;2;3;3;4;3;1;5;3;2;;;;;;;7;;;;;;;;1;1;2;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;2;3;2;5;5;1
2022-08-25 14:46;4;2;4;4;4;2;4;3;4;3;1;3;3;4;3;3;4;4;2;1;2;3;;;;7;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;1;3;3;4;4;4;4;4;1
2022-08-25 14:44;5;2;4;4;3;3;4;4;4;4;4;3;3;4;2;1;2;5;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;2;3;2;4;4;4;3;4;1
2022-08-25 14:48;5;2;4;4;4;3;5;4;4;4;4;4;4;3;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;5;4;1
2022-08-25 16:25;2;2;5;5;5;5;5;3;4;2;4;3;4;5;4;5;5;5;5;;;;;;;;;;;;;;;2;3;1;3;1;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;1;3;2
2022-08-25 14:53;5;2;4;4;4;4;5;3;4;3;3;5;5;5;4;3;4;4;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;3;4;4;3;5;5;1;5;3
2022-08-25 14:53;4;1;5;5;5;5;5;3;3;3;2;4;4;4;4;4;4;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;2
2022-08-25 15:03;4;2;2;2;1;2;2;2;2;2;2;2;2;2;1;1;1;1;2;;;;;5;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;2;2;1;1;1;1;1;1
2022-08-25 15:07;3;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;1;5;5;5;5;5;5;5;1
2022-08-25 15:18;4;2;4;4;4;3;3;3;4;4;3;4;4;4;3;4;4;4;3;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;4;4;3;3;3;4;3;1
2022-08-25 15:19;5;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;2;5;5;4;5;5;5;5;1
2022-08-25 15:19;2;1;4;4;4;4;4;4;4;4;4;2;3;4;3;3;3;4;4;;;;;;;;;;;;;;;1;1;1;3;2;2;;;;;;;2;2;;;;;;;;1;4;4;4;4;4;4;4;1
2022-08-25 15:37;4;1;2;3;2;2;4;3;3;4;4;2;2;4;2;1;2;3;3;;;;;;;;;;;;;;;2;3;2;3;3;1;1;;;;2;;2;2;;;;;;;;2;2;2;2;2;2;2;3;2
2022-08-25 15:32;3;2;4;4;4;4;4;3;4;4;5;3;3;3;3;3;3;5;4;;;;;;;;;;;;;;;1;3;1;3;2;2;;;;;;;2;2;;;;;;;;4;4;5;4;5;5;6;6;4
2022-08-25 15:32;4;2;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;5;5;5;5;5;5;5;1
2022-08-25 15:39;4;2;4;4;4;4;5;5;5;5;3;4;4;4;4;4;4;4;3;;;;;;;;;;;;;;;1;1;1;1;2;2;;;;;;;2;2;;;;;;;;2;4;4;4;4;4;3;4;4
2022-08-25 15:49;3;2;3;3;4;3;3;4;4;3;4;3;2;4;2;3;3;4;3;;;;;;;;;;;;;;;1;2;1;3;3;3;;;;;;;2;2;;;;;;;;4;3;3;3;5;4;5;4;1
